Course,Widget Name,Typography,Color System,Container Depth,Mobile Readiness,Accessibility,Technology Stack,File Path
Fundamentals of Analytics and Excel,kc-module-5.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-module-5.html
Fundamentals of Analytics and Excel,kc-module-6.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/kc-module-6.html
Fundamentals of Analytics and Excel,keyboard-shortcuts-practice.html,Inter,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/keyboard-shortcuts-practice.html
Fundamentals of Analytics and Excel,learning-outcomes-module-0.html,Geist,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/learning-outcomes-module-0.html
Fundamentals of Analytics and Excel,learning-outcomes-module-1.html,Geist,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/learning-outcomes-module-1.html
Fundamentals of Analytics and Excel,learning-outcomes-module-2.html,Geist,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/learning-outcomes-module-2.html
Fundamentals of Analytics and Excel,learning-outcomes-module-3.html,Geist,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/learning-outcomes-module-3.html
Fundamentals of Analytics and Excel,learning-outcomes-module-4.html,Geist,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/learning-outcomes-module-4.html
Fundamentals of Analytics and Excel,learning-outcomes-module-5.html,Geist,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/learning-outcomes-module-5.html
Fundamentals of Analytics and Excel,learning-outcomes-module-6.html,Geist,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/learning-outcomes-module-6.html
Fundamentals of Analytics and Excel,learning-outcomes-module-7.html,Geist,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/learning-outcomes-module-7.html
Fundamentals of Analytics and Excel,learning-outcomes-module-8.html,Geist,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Fundamentals of Analytics and Excel/learning-outcomes-module-8.html
IAIT,week2-module1-s-curve-mapping.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/IAIT/week2-module1-s-curve-mapping.html
IAIT,week2-module2-ai-impact-diagnostic.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/IAIT/week2-module2-ai-impact-diagnostic.html
IAIT,week2-module3-strategic-options-assessment.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/IAIT/week2-module3-strategic-options-assessment.html
IAIT,week2-module3-timing-decision-tree.html,Geist,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/IAIT/week2-module3-timing-decision-tree.html
IAIT,week5-module1-microsoft-vs-ge.html,Inter,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/IAIT/week5-module1-microsoft-vs-ge.html
IAIT,week5-module2-stakeholder-coalition-map.html,Inter,Neutral / Minimal,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/IAIT/week5-module2-stakeholder-coalition-map.html
IAIT,week5-module3-energy-curve.html,Inter,Neutral / Minimal,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/IAIT/week5-module3-energy-curve.html
Managing Innovation,3m-sixsigma-timeline(1).html,System UI,Legacy Ivey Brand,Heavy Shadows & Gradients,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/3m-sixsigma-timeline(1).html
Managing Innovation,ambidexterity-types(1).html,Inter,Pastel Tints,Light Drop Shadows,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/ambidexterity-types(1).html
Managing Innovation,ambidexterity-types.html,Inter,Pastel Tints,Light Drop Shadows,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/ambidexterity-types.html
Managing Innovation,costs-vs-uncertainty(1).html,System UI,Legacy Ivey Brand,Heavy Shadows & Gradients,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/costs-vs-uncertainty(1).html
Managing Innovation,costs-vs-uncertainty.html,System UI,Legacy Ivey Brand,Heavy Shadows & Gradients,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/costs-vs-uncertainty.html
Managing Innovation,etypes-options.html,System UI,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/etypes-options.html
Managing Innovation,greenlight-process(1).html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/greenlight-process(1).html
Managing Innovation,greenlight-process.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/greenlight-process.html
Managing Innovation,jordan-timeline.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/jordan-timeline.html
Managing Innovation,pareto-distribution.html,System UI,Legacy Ivey Brand,Heavy Shadows & Gradients,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/pareto-distribution.html
Managing Innovation,process-vs-innovation.html,System UI,Legacy Ivey Brand,Heavy Shadows & Gradients,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/process-vs-innovation.html
Managing Innovation,shape-of-innovation(1).html,System UI,Legacy Ivey Brand,Light Drop Shadows,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/shape-of-innovation(1).html
Managing Innovation,three-films-chart.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/three-films-chart.html
Managing Innovation,user-innovation-chart.html,System UI,Legacy Ivey Brand,Light Drop Shadows,Desktop Only (Fixed),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/user-innovation-chart.html
Managing Innovation,vipp-discussion-widget.html,Inter,Legacy Ivey Brand,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Warning,Vanilla HTML/JS,Course Widgets/Managing Innovation/vipp-discussion-widget.html
Strategy,complete-framework-analyzer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/complete-framework-analyzer.html
Strategy,complete-framework-summary.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/complete-framework-summary.html
Strategy,correlation-vs-causation-detective.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/correlation-vs-causation-detective.html
Strategy,course-roadmap.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/course-roadmap.html
Strategy,differentiation-analyzer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/differentiation-analyzer.html
Strategy,five-forces-analyzer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/five-forces-analyzer.html
Strategy,five-forces-identifier.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/five-forces-identifier.html
Strategy,goal-reality-check.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/goal-reality-check.html
Strategy,index.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/index.html
Strategy,industry-performance-explorer.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/industry-performance-explorer.html
Strategy,industry-position-plotter.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/industry-position-plotter.html
Strategy,industry-structure-deep-dive.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/industry-structure-deep-dive.html
Strategy,jobs-discovery-workshop.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/jobs-discovery-workshop.html
Strategy,jobs-to-be-done.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/jobs-to-be-done.html
Strategy,jtbd-research-workshop.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Warning,D3.js Visualization,Course Widgets/Strategy/jtbd-research-workshop.html
Strategy,knowledge-check-customer-connection.html,Geist,Pastel Tints,Flat (No shadows),Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/knowledge-check-customer-connection.html
Strategy,knowledge-check-five-forces-identification.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,D3.js Visualization,Course Widgets/Strategy/knowledge-check-five-forces-identification.html
Strategy,knowledge-check-frontier-concept.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,D3.js Visualization,Course Widgets/Strategy/knowledge-check-frontier-concept.html
Strategy,knowledge-check-industry-performance.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,D3.js Visualization,Course Widgets/Strategy/knowledge-check-industry-performance.html
Strategy,knowledge-check-three-positions.html,Geist,Pastel Tints,Flat (No shadows),Desktop Only (Fixed),A11y Warning,D3.js Visualization,Course Widgets/Strategy/knowledge-check-three-positions.html
Strategy,learning-outcomes-map.html,Geist,Neutral / Minimal,Heavy Shadows & Gradients,Mobile Ready (@media),A11y Partial (Keyboard only),Vanilla HTML/JS,Course Widgets/Strategy/learning-outcomes-map.html
Strategy,learning-outcomes-module-1.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-1.html
Strategy,learning-outcomes-module-10.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-10.html
Strategy,learning-outcomes-module-2.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-2.html
Strategy,learning-outcomes-module-3.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-3.html
Strategy,learning-outcomes-module-4.html,Geist,Pastel Tints,Light Drop Shadows,Mobile Ready (@media),A11y Partial (Keyboard only),D3.js Visualization,Course Widgets/Strategy/learning-outcomes-module-4.html
